                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80089,                 1.6763,                 1.2592,                0.75735,                 4.7355,                 1.2287,                0.60148,                0.66381,                0.69081,                0.53271,                0.70878,                 1.7987,                 1.1611,                0.65449,                 7.0536,                 1.1286,             0.00066204,             0.00066204,             0.00066204
                      2,                0.76026,                0.94243,                 1.1717,                0.83572,                  2.191,                 1.1946,                 0.6737,                0.66911,                0.74671,                0.54436,                0.83658,                 1.4079,                 1.1868,                0.91091,                 3.2792,                 1.2924,              0.0013024,              0.0013024,              0.0013024
                      3,                0.77766,                0.78992,                 1.1777,                0.88173,                 1.2026,                 1.2139,                0.84188,                0.81481,                 0.9089,                0.64533,                0.81292,                 0.8399,                 1.2205,                0.95058,                 1.5083,                 1.2779,              0.0019164,              0.0019164,              0.0019164
                      4,                0.72708,                0.67171,                 1.1499,                0.83002,                0.84472,                 1.1865,                0.87069,                0.73611,                 0.8485,                0.67802,                0.81055,                0.89756,                 1.1804,                0.90078,                 1.1119,                 1.3181,              0.0018812,              0.0018812,              0.0018812
                      5,                0.67256,                0.58412,                 1.1109,                0.77189,                0.67378,                 1.1459,                0.91417,                0.93056,                0.97577,                0.79475,                0.61576,                0.50128,                 1.0034,                0.68032,                0.61263,                 1.0751,              0.0018812,              0.0018812,              0.0018812
                      6,                0.63687,                0.52303,                 1.0863,                0.73668,                0.55411,                 1.1132,                0.95741,                0.93659,                0.98416,                0.86379,                0.51457,                0.36394,                0.91156,                0.56159,                0.37332,                0.95074,              0.0018416,              0.0018416,              0.0018416
                      7,                0.60259,                0.50477,                 1.0732,                0.70436,                0.54295,                 1.1032,                0.97901,                0.96759,                0.99125,                0.87202,                0.49597,                 0.3557,                0.89046,                0.52839,                0.31075,                0.89765,               0.001802,               0.001802,               0.001802
                      8,                0.56614,                0.46621,                 1.0421,                0.65732,                0.48442,                 1.0706,                 0.9675,                0.96296,                0.99044,                0.86907,                0.48971,                0.34152,                0.85498,                0.53763,                 0.3017,                 0.8991,              0.0017624,              0.0017624,              0.0017624
                      9,                0.56945,                0.45563,                  1.047,                0.65241,                0.44741,                 1.0704,                0.98122,                0.96738,                0.99086,                0.87382,                0.50416,                0.35571,                0.86061,                0.53076,                0.27403,                 0.9043,              0.0017228,              0.0017228,              0.0017228
                     10,                0.56592,                0.44625,                 1.0433,                0.65217,                0.43244,                 1.0669,                0.94833,                0.99537,                0.99295,                0.87855,                0.50213,                0.31853,                0.86559,                0.52727,                0.22922,                0.91838,              0.0016832,              0.0016832,              0.0016832
                     11,                0.54229,                0.42868,                 1.0358,                0.62296,                0.40472,                  1.061,                0.97511,                0.90691,                0.98561,                0.88038,                0.46096,                 0.3086,                0.83481,                0.51846,                0.29748,                0.88584,              0.0016436,              0.0016436,              0.0016436
                     12,                0.52821,                0.40605,                 1.0236,                0.60818,                0.36805,                 1.0472,                0.97725,                0.99457,                0.99397,                0.90353,                0.44318,                 0.2904,                0.82948,                 0.4617,                0.20156,                0.86191,               0.001604,               0.001604,               0.001604
